,Giro
EXHIBIDOR DE PELICULAS,12
TRANSPORTE DE CARGA FEDERAL,9
SERVICIOS EDUCATIVOS,5
AUTOPARTES,4
CONFECCION,4
EMBOTELLADORA DE AGUA,3
TRANSPORTE DE CARGA,3
C/V DE REFACCIONES AUTOMOTRICES,2
FABRICACIÃ“N DE HILADOS,2
VENTA DE ALIMENTOS,2
FAB. DE PARTES INTERIORES AUTOMOTRICES,2
FABRICACION DE HILO,2
CERVECERIA,2
TIENDA DEPARTAMENTAL,2
CONSTRUCCIÃ“N,2
TIENDA DE AUTOSERVICIO  CON VENTA DE VINOS Y LICORES EN BOTELLA CERRADA ; PANADERIA.,2
COMPRA VENTA DE AUTOS NUEVOS;USADOS;REFACCIONES Y SERVICIO,2
SERVICIO DE ALOJAMIENTO TEMPORAL,2
FABRICACIÃ“N DE HILADOS Y TEJIDOS,2
FAB. DE RODAMIENTOS Y BALEROS,2
FABRICACIÃ“N DE HILADO PARA TEJIDO DE PUNTO,2
AUTOPARTES ,2
FAB. AUTOPARTES,2
COMPRA VENTA DE CONDIMENTOS PARA EMBUTIDOS,2
HILADOS,2
SERVICIOS PROFESIONALES A EMPRESAS,1
TELAS  TEJIDAS Y NO TEJIDAS,1
EXHIBICION DE PELICULAS CINEMATOGRAFICAS,1
Tejido plano,1
ALIMENTOS CONCENTRADOS,1
FABRICACION DE DULCES,1
DESARROLLO DE TECNOLOGIA Y SERVICIO LOGISTICO,1
FAB. COMPRA VENTA DE MAT. RELC. A LA INDUSTRIA,1
ASESORIA Y CONSULTORIA AMBIENTAL,1
FABRICACION DE HILO DE POLIESTER,1
ALIMENTOS Y BEBIDAS,1
VENTA DE GAS NATURAL,1
SERVICIOS DE ALOJAMIENTO TEMPORAL,1
METALMECANICA Y PAILERIA ,1
TEXTILES PARA CARROS Y AUTOBUSES,1
CARROCERIAS ,1
COMERCIO AL POR MAYOR DE PRODUCTOS PROBIOTICOS ,1
FABRICACION DE TABLAROCA DE YESO,1
FABRICACION DE PASTAS DE HARINA,1
TEXTIL FAB. DE COBERTORES; COLCHAS Y ART. TEXT.,1
HOTELES,1
FINSA ADMINISTRACION ,1
SERVICIOS DE LIMPIEZA INDUSTRIALES Y DE JARDINERIA,1
TIENDA DEPARTAMENTAL DE AUTOSERVICIO,1
FABRICACION DE ENTORCHADOS HILOS ELASTICOS Y BON.,1
INDUSTRIALIZACION DE FRUTAS Y FAB.DE REFRES.C/GAS,1
INDUSTRIA SIDERURGICA,1
FABRICACION DE MUEBLES,1
FABRICACION DE AUTOPARTES ( COJINETES ),1
FABRICACIÃ“N DE HILOS,1
SISTEMAS DE TRATAMIENTO DE AIRE INDUSTRIAL,1
HILADOS; TEJIDOS P.C.,1
C/V ROPA; ART. JARDINERIA Y ABARROTES EN GRAL.,1
MANUFACTURA DE SISTEMAS DE FRENOS Y SISTEMAS DE EMBARAGUE,1
MAQ. TEÃ‘IDO Y ESTAMPADO DE TELAS,1
CONSTRUCCIÃ“N Y SUPERVISIÃ“N DE OBRAS,1
FABRICA DE DULCES,1
FABRICACIÃ“N DE CALCETAS; CALCETINES Y MEDIAS DEPORTIVAS,1
TEXTILERA ,1
FAB. Y ENSAMBLE DE AUTOPARTES,1
